Operator/Tenant,Owner,"Warehouse Area (sq ft)","Warehouse Type","Lot Size","Year Opened",Address,County,"Zip code","Full Address",Neighborhood,"Site Description",Note,Link,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
,"Realterm Logistics","50,500",Last-Mile,,??,"235 Gardner Avenue",Kings,11211,"235 Gardner Avenue, Kings, New York 11211","East Williamsburg",5-story,,https://therealdeal.com/2020/11/10/east-williamsburg-warehouse-fetches-28m/,40.71459,-73.927035,1,rooftop,235,"Gardner Ave",,,Brooklyn,NY,"Kings County",11211,US,"City of New York"
Amazon,,"235,200",Last-Mile,0,2021,"235-51 Rockaway Boulevard",Queens,11434,"235-51 Rockaway Boulevard, Queens, New York 11434",Jamaica,3-story,"Delivery Station Near JFK",,40.644819,-73.74656,0.86,nearest_rooftop_match,235,"Rockaway Blvd",,,"Springfield Gardens",NY,"Queens County",11413,US,"TIGER/Line® dataset from the US Census Bureau"
,"Innovo Property Group/Westbrook Partners","650,000",,,,"24-02 49th Avenue",Queens,11101,"24-02 49th Avenue, Queens, New York 11101","Long Island City",,,https://therealdeal.com/2022/07/28/andrew-chungs-innovo-plans-ambitious-warehouse-in-sunnyside/,40.741835,-73.94636,1,rooftop,24-2,"49th Ave",,,"Long Island City",NY,"Queens County",11101,US,"City of New York"
"Amazon & Home Depot","Innovo Property Grp. & Square Mile Capital Mgmt.","700,000",Last-Mile,0,2023,"2505 Bruckner Boulevard",Bronx,10465,"2505 Bruckner Boulevard, Bronx, New York 10465",Schuylerville,"Former Whitestone Cinemas; 2 levels",,https://www.mwpvl.com/html/amazon_com.html,40.830749,-73.840506,1,rooftop,2505,"Bruckner Blvd",,,Bronx,NY,"Bronx County",10465,US,"City of New York"
Amazon,"Terreno Realty Corporation","83,000","Distribution Center",,,"26-15 Boody Street",Queens,11377,"26-15 Boody Street, Queens, New York 11377",Woodside,,,"https://licpost.com/amazon-to-build-massive-new-delivery-station-in-maspeth-published-reports
https://therealdeal.com/new-york/2018/10/19/amazon-to-open-first-distribution-center-in-queens/",40.760647,-73.89773,0.8,nearest_rooftop_match,26,"Boody St",,,Woodside,NY,"Queens County",11377,US,"TIGER/Line® dataset from the US Census Bureau"
,"Innovo Property Group","682,400",,,"Submitted plans to construct in July 2022","28-90 Review Avenue",Queens,11101,"28-90 Review Avenue, Queens, New York 11101",Sunnyside,,,https://therealdeal.com/2022/07/28/andrew-chungs-innovo-plans-ambitious-warehouse-in-sunnyside/,40.738468,-73.940658,0.9,nearest_rooftop_match,28-39,"Review Ave",,,"Long Island City",NY,"Queens County",11101,US,"City of New York"
Amazon,"Thor Equities","311,000",Last-Mile,335000,2022,"280 Richards Street",Kings,11231,"280 Richards Street, Kings, New York 11231","Red Hook",,"Delivery Station for Brooklyn",https://thorequities.com/portfolio/280-richards-street/,40.674133,-74.014043,1,range_interpolation,280,"Richards St",,,Brooklyn,NY,"Kings County",11231,US,"TIGER/Line® dataset from the US Census Bureau"
Amazon,,"90,000","Distribution Center",0,2020,"34 35th Street",Kings,11232,"34 35th Street, Kings, New York 11232","Sunset Park",,,https://www.mwpvl.com/html/amazon_com.html,40.657114,-74.007726,1,rooftop,34,"35th St",,,Brooklyn,NY,"Kings County",11232,US,"City of New York"
Amazon,,"19,700",Last-Mile,0,2021,"38-50 21st Street",Queens,11101,"38-50 21st Street, Queens, New York 11101","Long Island City","Former Green Apple Supermarket","Delivery Station for Queens",https://www.mwpvl.com/html/amazon_com.html,40.756325,-73.940689,1,rooftop,38-50,"21st St",,,"Long Island City",NY,"Queens County",11101,US,"City of New York"
,"Pinnacle Realty","180,000",Last-Mile,,??,"42-02 56th Road",Queens,11378,"42-02 56th Road, Queens, New York 11378",Maspeth,,,https://www.pinnaclereny.com/wp-content/uploads/2016/11/42-02-56th-Road-Maspeth-NY.pdf,40.722848,-73.908413,0.4,place,,,,,Queens,NY,"Queens County",11378,US,"TIGER/Line® dataset from the US Census Bureau"
UPS,UPS,,Last-Mile/Freight,,,"46-05 56th Road",Queens,11378,"46-05 56th Road, Queens, New York 11378",Maspeth,,"Freight forwarding service",,40.72651,-73.920887,1,rooftop,46-5,"56th Rd",,,Maspeth,NY,"Queens County",11378,US,"City of New York"
FedEx,"American Realty Advisors","350,000","Distribution Center",0,,"46-06 57th Avenue",Queens,11378,"46-06 57th Avenue, Queens, New York 11378",Maspeth,,,https://therealdeal.com/new-york/2018/11/27/rxr-and-logistics-partner-plan-huge-vertical-warehouse-in-maspeth/,40.725632,-73.924101,1,rooftop,46-6,"57th Ave",,,Maspeth,NY,"Queens County",11378,US,"City of New York"
